0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
11.918001,19.219904,21.756765,22.041538,20.239138,19.03372,20.562342,19.68884,19.793621,22.340408,0.0,20.65263,18.912834,19.179098,13.204866,19.737627,20.404106,21.81479,21.19858,19.013683,20.017796,19.824242,20.297358,20.522379,18.859034,19.592875,13.967918,19.893526,19.92975,20.121305,17.721308,13.4807415,20.405567
18.824484,13.825097,10.411698,20.893353,23.108326,21.160513,23.42873,16.163322,21.080523,21.392372,20.65263,0.0,21.82433,21.400118,16.75729,21.968342,21.974136,18.328215,21.234854,19.948803,21.61179,22.277407,20.600962,20.502182,22.593904,21.077639,17.30405,22.148897,22.116224,21.707668,20.957867,16.448069,20.155958
18.552324,20.929384,22.388645,10.098382,8.663116,9.584378,9.345274,19.546103,7.3023853,11.444688,18.912834,21.82433,0.0,7.377587,19.415668,9.7801,8.75867,14.090426,10.155114,8.969459,8.075684,9.468414,10.441281,10.026883,8.390165,8.632918,19.507765,8.310017,8.195569,8.31869,9.074715,19.107452,10.478574
18.618418,20.192413,21.638157,11.97677,10.943081,11.299444,11.883033,19.33198,6.899824,13.827525,19.179098,21.400118,7.377587,0.0,19.561718,12.389248,12.156049,14.097978,12.942952,10.500019,11.525984,12.58621,11.736084,12.145576,9.723393,11.672935,19.50376,11.49076,11.599695,11.791933,9.180989,19.230438,11.948308
10.851125,18.189413,19.056225,20.818245,20.686798,18.827023,20.848377,17.63131,19.444712,20.96718,13.204866,16.75729,19.415668,19.561718,0.0,19.694204,20.00757,19.53891,20.23007,18.353365,19.679583,20.157722,19.488283,19.557169,19.64057,19.120031,10.738272,19.760626,19.943617,19.778187,18.331964,9.230517,19.272518
19.56711,21.964579,22.868328,11.888213,9.368463,7.3720655,8.919378,20.491083,10.922995,9.907155,19.737627,21.968342,9.7801,12.389248,19.694204,0.0,8.031837,13.532821,8.900909,8.979288,7.8917346,8.79662,9.376959,8.545441,10.259915,7.823605,20.296219,7.9578743,8.109368,7.881511,11.12532,19.684126,9.286094
20.151438,21.395449,22.470457,10.378519,6.746487,9.717881,6.504068,19.548283,10.300569,6.946498,20.404106,21.974136,8.75867,12.156049,20.00757,8.031837,0.0,13.8208,7.0602937,9.613281,2.529853,7.95998,9.823361,8.985758,11.098452,6.1577034,20.251816,5.350568,5.7259398,2.2812402,12.163844,20.08392,8.84361
20.881071,18.425838,18.841593,11.556147,15.141141,13.203631,15.441441,17.801464,12.6628065,13.077732,21.81479,18.328215,14.090426,14.097978,19.53891,13.532821,13.8208,0.0,13.181769,12.036643,13.302264,15.022843,12.092179,12.248783,15.066724,12.496036,20.425385,14.538043,14.467874,13.520486,13.16543,19.958235,11.831513
20.882355,21.114029,22.173695,9.295438,9.995293,9.958682,9.505508,19.208773,10.588401,7.35849,21.19858,21.234854,10.155114,12.942952,20.23007,8.900909,7.0602937,13.181769,0.0,10.229449,7.3704853,8.585032,9.570108,9.075563,12.39679,7.7553086,20.854359,7.4448853,7.775004,7.4060235,12.83711,20.368275,8.271309
17.924265,19.954748,20.963877,11.296582,10.117719,6.1374516,10.71387,18.492687,9.289909,10.968104,19.013683,19.948803,8.969459,10.500019,18.353365,8.979288,9.613281,12.036643,10.229449,0.0,8.845447,10.019215,7.355358,7.22906,8.844972,8.099285,18.432228,8.976677,8.853053,9.175087,8.659861,18.133307,7.0136514
19.630697,20.983637,22.120003,10.313437,6.373233,9.097685,6.801945,19.17382,9.796468,7.120524,20.017796,21.61179,8.075684,11.525984,19.679583,7.8917346,2.529853,13.302264,7.3704853,8.845447,0.0,7.9345984,9.114171,8.465286,10.251714,5.5006423,19.843235,5.350797,5.5909057,1.4759443,11.370283,19.630468,8.409116
19.501522,21.76673,23.250196,11.711549,8.953494,9.672246,8.837537,20.393332,11.072447,10.420353,19.824242,22.277407,9.468414,12.58621,20.157722,8.79662,7.95998,15.022843,8.585032,10.019215,7.9345984,0.0,10.834991,9.932558,10.304202,7.8845916,20.390282,7.4506683,7.267607,7.9678893,11.425051,19.803139,10.021818
19.318785,20.64019,21.681528,11.730891,10.785521,7.764088,11.278922,19.020407,10.165905,10.990283,20.297358,20.600962,10.441281,11.736084,19.488283,9.376959,9.823361,12.092179,9.570108,7.355358,9.114171,10.834991,0.0,6.3009706,10.453887,8.13907,19.906487,10.254742,9.87596,9.362964,10.25809,19.193344,7.1684256
19.681376,20.41875,21.473331,10.739873,10.510747,8.193284,10.730202,18.964582,9.951961,9.263973,20.522379,20.502182,10.026883,12.145576,19.557169,8.545441,8.985758,12.248783,9.075563,7.22906,8.465286,9.932558,6.3009706,0.0,10.510024,7.5698943,20.011543,8.910309,8.229164,8.69547,10.982757,19.480425,8.243387
18.058323,22.03201,23.527462,13.298252,10.257237,9.098817,10.950857,20.741798,10.059126,13.475331,18.859034,22.593904,8.390165,9.723393,19.64057,10.259915,11.098452,15.066724,12.39679,8.844972,10.251714,10.304202,10.453887,10.510024,0.0,9.870302,19.816206,10.1592655,9.849621,10.538125,7.8911,19.251375,11.178794
18.904036,20.681509,21.947277,10.805381,8.257281,8.380421,8.628525,19.210485,10.124283,8.27599,19.592875,21.077639,8.632918,11.672935,19.120031,7.823605,6.1577034,12.496036,7.7553086,8.099285,5.5006423,7.8845916,8.13907,7.5698943,9.870302,0.0,19.35062,7.0519285,6.6061144,5.927783,10.3403225,18.988781,7.657097
11.590801,17.56535,19.160395,21.716854,20.579517,19.216759,20.985012,16.71298,19.772223,21.403587,13.967918,17.30405,19.507765,19.50376,10.738272,20.296219,20.251816,20.425385,20.854359,18.432228,19.843235,20.390282,19.906487,20.011543,19.816206,19.35062,0.0,20.021286,19.999844,19.97318,18.790926,11.163724,19.382334
19.432997,21.620348,22.711031,10.669917,6.314231,8.808461,5.6069903,19.673843,9.824196,7.569587,19.893526,22.148897,8.310017,11.49076,19.760626,7.9578743,5.350568,14.538043,7.4448853,8.976677,5.350797,7.4506683,10.254742,8.910309,10.1592655,7.0519285,20.021286,0.0,3.796791,5.52589,11.443852,19.639,9.025092
