0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.846506,0.59542024,0.48419195,0.39188057,0.5115206,0.55768967,0.49955633,0.5593115,0.5155009,0.38380802,0.99999994,0.53509474,0.565575,0.5480775,0.80759573,0.5296222,0.4930765,0.4135542,0.44320977,0.55112934,0.511164,0.52972174,0.49463946,0.48606342,0.5745783,0.5326829,0.7861435,0.52026737,0.5227771,0.50799894,0.619951,0.80235785,0.48343006
0.6096187,0.78651327,0.87956953,0.4412075,0.34627613,0.43658143,0.33376625,0.69691634,0.4342888,0.42209074,0.53509474,1.0000002,0.4034645,0.41961807,0.6833781,0.40093008,0.39597392,0.57893497,0.42712048,0.49087855,0.41421497,0.39003754,0.46584675,0.47427118,0.37133095,0.44390032,0.6649986,0.38843647,0.39634097,0.411606,0.4504529,0.69991195,0.48319265
0.576406,0.44856435,0.37198228,0.8474466,0.89442134,0.86540747,0.87868565,0.4949526,0.92088526,0.80731094,0.565575,0.4034645,0.99999976,0.9196594,0.5206927,0.8624911,0.88859564,0.7081843,0.8471599,0.87951905,0.9049203,0.87294674,0.8400081,0.8536093,0.9000445,0.89150304,0.5210141,0.9001947,0.90427285,0.8996976,0.8801552,0.5459796,0.836553
0.568653,0.4810471,0.4066167,0.7813474,0.8291316,0.8098869,0.80092573,0.49949798,0.9280029,0.71405804,0.5480775,0.41961807,0.9196594,1.0000001,0.50738204,0.77601856,0.7820768,0.70308006,0.74736714,0.8315718,0.80326223,0.7721342,0.7945529,0.7818301,0.8639662,0.7985286,0.51549304,0.8062793,0.8053663,0.7953586,0.87546134,0.5347025,0.7836601
0.86860526,0.6249412,0.59064466,0.4344417,0.46783832,0.5472922,0.46412063,0.63315576,0.51092863,0.4347203,0.80759573,0.6833781,0.5206927,0.50738204,1.0000001,0.5110069,0.4912843,0.51063156,0.47101495,0.5622033,0.50655997,0.49261102,0.5137477,0.5132497,0.51774204,0.5351531,0.8690828,0.5057061,0.50132585,0.50375354,0.5733777,0.9042155,0.5190772
0.5315423,0.3973912,0.3504482,0.7912162,0.8775908,0.9214338,0.8904346,0.4499558,0.8249996,0.857458,0.5296222,0.40093008,0.8624911,0.77601856,0.5110069,1.0000002,0.90742576,0.73406553,0.8842523,0.8810787,0.91032207,0.8914141,0.8726019,0.89495254,0.8519268,0.9119758,0.48542172,0.9095066,0.90719616,0.91100883,0.8219853,0.5216695,0.8735106
0.49904194,0.42416346,0.36821833,0.83918244,0.93620425,0.8618917,0.9416808,0.49558824,0.84264565,0.9292028,0.4930765,0.39597392,0.88859564,0.7820768,0.4912843,0.90742576,1.0000002,0.71976674,0.9263925,0.86182654,0.99069333,0.9104072,0.85865825,0.8826435,0.8251947,0.944901,0.483849,0.9586996,0.95341396,0.9924718,0.7850599,0.49807853,0.88392055
0.45643044,0.571342,0.55460536,0.79769945,0.67355776,0.74183565,0.6643918,0.5782925,0.7588823,0.7456687,0.4135542,0.57893497,0.7081843,0.70308006,0.51063156,0.73406553,0.71976674,1.0000001,0.73948085,0.7799909,0.73934174,0.676661,0.7831073,0.7792927,0.6740253,0.7703347,0.4698889,0.6914047,0.6984175,0.73233485,0.7451564,0.49997395,0.7891381
0.4526083,0.42999375,0.37451082,0.86779547,0.85726213,0.8518243,0.87291557,0.50445944,0.8297665,0.91875184,0.44320977,0.42712048,0.8471599,0.74736714,0.47101495,0.8842523,0.9263925,0.73948085,1.0,0.8394929,0.9193671,0.89417243,0.86292124,0.8778443,0.77774704,0.91086876,0.44301382,0.9186145,0.91270113,0.9191754,0.7555597,0.475171,0.89593303
0.59683335,0.48701274,0.43649977,0.8019408,0.85244024,0.94325507,0.83671415,0.5362737,0.8671911,0.8171487,0.55112934,0.49087855,0.87951905,0.8315718,0.5622033,0.8810787,0.86182654,0.7799909,0.8394929,1.0000001,0.88251895,0.8541918,0.91817015,0.9218391,0.88637865,0.90177566,0.5632506,0.8803283,0.88563436,0.87449235,0.887681,0.58291733,0.9241639
