0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
6.672363,6.687075,6.550446,7.4342437,7.284147,8.437206,6.5241203,6.4541373,5.800434,5.339142,7.0185385,6.9914746,0.0,7.0122604,7.6259656,5.733061,4.6930304,4.917412,5.8873954,4.3166385,8.122733,6.7766066,7.046775,6.383252,10.0010195,7.118877,6.8445234,6.458066,6.887825,4.911719,6.8647265
6.044835,6.440016,4.438591,4.769106,7.8176217,7.5146866,5.163771,6.6094513,6.5245223,6.740883,7.5304055,7.7333784,7.0122604,0.0,7.0279574,5.985315,5.8807273,6.327233,4.4113283,5.7051167,7.556685,4.104946,5.6441536,4.4831233,10.3521,7.941035,4.1354356,7.118713,3.66468,5.6701956,4.0833015
5.668629,5.110503,7.263499,8.833895,4.6550727,6.001013,5.911979,4.857562,8.711111,8.025783,5.2691126,4.8707433,7.6259656,7.0279574,0.0,6.343572,7.312134,7.5694504,5.6893053,6.263355,6.020695,6.315041,7.868376,7.026549,8.802034,5.4190845,6.8498673,4.7484717,6.0448656,7.4363413,7.229219
5.3755794,5.0038867,5.4949183,5.9810395,6.514099,8.171079,6.372782,5.605729,5.7920566,4.6190615,6.760162,6.121719,5.733061,5.985315,6.343572,0.0,4.8706427,5.471363,4.9828124,4.3336554,7.954388,5.6462035,5.4219985,4.801641,8.893659,6.627476,5.7535143,5.680643,5.888423,4.825611,5.2137513
6.044746,6.414157,5.8685555,6.071921,7.4318566,8.648292,5.7790647,5.80475,5.274847,4.7366605,6.994248,6.8754315,4.6930304,5.8807273,7.312134,4.8706427,0.0,2.7617545,5.4722466,3.3148847,8.073467,5.8196754,6.4631467,4.780367,9.870165,7.401879,5.395681,6.4326167,5.832059,2.5058072,5.3055973
6.447613,6.8751855,6.2537007,6.815045,7.6146684,8.7423935,6.362825,6.2908683,6.1387205,5.22903,7.2791333,7.267135,4.917412,6.327233,7.5694504,5.471363,2.7617545,0.0,5.801265,3.5101707,8.091142,6.0315633,7.0038447,5.1110926,9.880106,7.498533,5.719623,6.714432,6.0995817,3.3736835,5.765935
4.6290827,4.8118296,4.917478,6.276839,5.795591,6.432328,5.687469,4.9666643,7.0829177,6.182796,6.346401,6.284834,5.8873954,4.4113283,5.6893053,4.9828124,5.4722466,5.801265,0.0,4.697531,7.2342634,3.482685,5.8523006,3.7066143,8.890173,6.332464,4.1481533,5.319222,3.1700675,5.441227,3.7123234
5.765292,5.8011713,5.785202,6.5352554,6.1309257,7.713714,5.0124726,4.9512796,5.4634247,5.1167545,5.5692887,5.466904,4.3166385,5.7051167,6.263355,4.3336554,3.3148847,3.5101707,4.697531,0.0,6.5211987,5.3314753,6.2916436,5.147791,9.085733,6.0983486,5.6498303,5.162828,5.431268,3.7189848,5.5603623
8.030597,7.509536,8.188962,9.213082,6.199136,7.6037154,5.300371,6.6173162,9.146866,8.9422245,5.5733857,5.626248,8.122733,7.556685,6.020695,7.954388,8.073467,8.091142,7.2342634,6.5211987,0.0,7.798946,8.917001,8.626844,10.296878,6.585398,8.090771,6.2947626,7.4554477,8.19019,8.645527
4.964979,5.435397,4.900914,6.571899,6.7771626,6.3510146,6.0343094,5.924044,7.1545186,6.8482704,6.808598,6.992059,6.7766066,4.104946,6.315041,5.6462035,5.8196754,6.0315633,3.482685,5.3314753,7.798946,0.0,6.0461025,3.6051943,9.060597,6.9977202,4.2925267,6.1984186,2.6901808,5.9541965,4.1385584
6.282512,6.2526426,3.512699,5.7203197,8.212706,8.731724,7.2140484,7.01968,5.6390657,5.9950733,7.852281,7.8245487,7.046775,5.6441536,7.868376,5.4219985,6.4631467,7.0038447,5.8523006,6.2916436,8.917001,6.0461025,0.0,5.113298,9.871218,8.506561,5.26444,7.5953326,5.963846,6.028054,4.705264
4.721132,5.491029,3.9528801,5.272477,7.516766,7.7253213,6.5836024,6.11927,6.450546,5.731792,7.6939564,7.610952,6.383252,4.4831233,7.026549,4.801641,4.780367,5.1110926,3.7066143,5.147791,8.626844,3.6051943,5.113298,0.0,9.588079,7.616727,3.5109107,6.6514015,3.774546,4.9235353,2.6734853
9.079348,8.59455,10.0996,11.432534,8.021366,9.339146,10.532113,8.577011,11.242944,10.048386,9.122765,8.11482,10.0010195,10.3521,8.802034,8.893659,9.870165,9.880106,8.890173,9.085733,10.296878,9.060597,9.871218,9.588079,0.0,8.384422,10.274912,8.251466,9.908634,10.246741,10.104293
6.431187,6.182932,8.062772,9.450266,2.843609,6.433764,6.599627,5.749522,9.219452,8.333235,4.96482,5.1009746,7.118877,7.941035,5.4190845,6.627476,7.401879,7.498533,6.332464,6.0983486,6.585398,6.9977202,8.506561,7.616727,8.384422,0.0,7.894861,5.0205007,7.291011,7.887737,8.207159
5.047807,5.714687,3.7751775,5.6395473,7.6308947,7.281541,5.726867,6.627866,6.659752,6.5578523,7.6002383,7.6775975,6.8445234,4.1354356,6.8498673,5.7535143,5.395681,5.719623,4.1481533,5.6498303,8.090771,4.2925267,5.26444,3.5109107,10.274912,7.894861,0.0,7.273358,3.362057,5.045875,2.5141618
5.936978,5.3715405,7.200444,8.631637,4.548458,6.9500017,6.0942287,2.6172988,7.901363,6.995783,4.889052,4.9366484,6.458066,7.118713,4.7484717,5.680643,6.4326167,6.714432,5.319222,5.162828,6.2947626,6.1984186,7.5953326,6.6514015,8.251466,5.0205007,7.273358,0.0,6.3978143,6.7742476,7.222004
4.7984176,5.502392,4.67931,6.3114147,7.0186296,6.3401427,5.500483,5.812289,7.1151595,7.0350842,6.7206635,7.0861053,6.887825,3.66468,6.0448656,5.888423,5.832059,6.0995817,3.1700675,5.431268,7.4554477,2.6901808,5.963846,3.774546,9.908634,7.291011,3.362057,6.3978143,0.0,5.732101,3.5280516
6.2550025,6.455027,5.492144,5.706199,7.8638883,8.922355,5.55117,6.1843038,4.834313,4.843664,7.1432934,7.215387,4.911719,5.6701956,7.4363413,4.825611,2.5058072,3.3736835,5.441227,3.7189848,8.19019,5.9541965,6.028054,4.9235353,10.246741,7.887737,5.045875,6.7742476,5.732101,0.0,4.7709694
5.3072395,5.935115,3.7493746,5.016791,7.9012966,8.032476,6.494344,6.4640775,6.36529,6.0338182,7.9448476,7.934717,6.8647265,4.0833015,7.229219,5.2137513,5.3055973,5.765935,3.7123234,5.5603623,8.645527,4.1385584,4.705264,2.6734853,10.104293,8.207159,2.5141618,7.222004,3.5280516,4.7709694,0.0
