0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.35012674,0.41251773,0.4205482,0.3653491,0.40876493,0.5207399,0.38965508,0.39405435,0.49274603,0.44892356,0.0,0.42731556,0.5441795,0.18671739,0.40701306,0.34977213,0.4365618,0.44817603,0.4306864,0.45156834,0.55609894,0.2309562,0.47376958,0.33393103,0.81867915,0.3846519,0.42030087,0.33172977,0.32766083,0.44024324,0.44858477
0.31422588,0.37970737,0.5629754,0.43162993,0.27874452,0.72517055,0.24681893,0.26518437,0.5932525,0.5380059,0.42731556,0.0,0.5904602,0.43781063,0.22207849,0.42036435,0.2828912,0.408402,0.32164901,0.45508578,0.46193308,0.4595914,0.62368214,0.33625144,0.9227564,0.39743584,0.2824745,0.33785993,0.3557963,0.30556762,0.32436645
0.5078811,0.539575,0.34809208,0.47190487,0.4837691,0.73944956,0.48818222,0.52628434,0.35981596,0.39175704,0.5441795,0.5904602,0.0,0.52365756,0.5423712,0.4392409,0.5254502,0.51254505,0.46191013,0.42616966,0.591226,0.5528976,0.4829104,0.51722646,0.91630304,0.4528233,0.5381603,0.45723554,0.58030856,0.5254671,0.5546013
0.2727609,0.33498135,0.3773434,0.3000475,0.36893487,0.47947186,0.3244123,0.35434,0.47635183,0.43875077,0.18671739,0.43781063,0.52365756,0.0,0.34964478,0.2945505,0.38595292,0.40101105,0.35768256,0.40509787,0.5213631,0.08742524,0.47650403,0.26972106,0.84561175,0.33091488,0.35925522,0.2825092,0.23642972,0.37825358,0.39292467
0.17994212,0.21801677,0.45971265,0.32353294,0.18329257,0.60949725,0.13564734,0.19125903,0.52988154,0.51164365,0.40701306,0.22207849,0.5423712,0.34964478,0.0,0.31329545,0.19788386,0.33803892,0.1898111,0.3712006,0.4748358,0.37054658,0.54648244,0.21431257,0.8924054,0.28761086,0.20340377,0.20325257,0.23985748,0.2081619,0.24556586
0.22903647,0.2314237,0.32273024,0.10674691,0.296847,0.6234328,0.25391266,0.30278403,0.34763375,0.3027931,0.34977213,0.42036435,0.4392409,0.2945505,0.31329545,0.0,0.32074654,0.32959366,0.32330313,0.33168128,0.39824247,0.33981404,0.38556078,0.25607616,0.87093663,0.2602549,0.31182876,0.21180871,0.36419958,0.31155902,0.34778202
0.16044801,0.233499,0.45766312,0.2802319,0.18382776,0.61251396,0.118211016,0.109926775,0.52758104,0.47867978,0.4365618,0.2828912,0.5254502,0.38595292,0.19788386,0.32074654,0.0,0.25117072,0.1784868,0.3386439,0.44348386,0.40887305,0.56870955,0.15258987,0.88222194,0.31264466,0.119465485,0.2063931,0.2542092,0.1516419,0.12312353
0.18835814,0.28738543,0.46431646,0.31807643,0.2457214,0.5590255,0.23486297,0.23497267,0.52395445,0.45477366,0.44817603,0.408402,0.51254505,0.40101105,0.33803892,0.32959366,0.25117072,0.0,0.29675016,0.16357058,0.2765903,0.41377863,0.5786793,0.20724674,0.7765748,0.316957,0.24053855,0.18240859,0.3616137,0.2558023,0.2759252
0.11726434,0.16219088,0.4542371,0.3082547,0.17217824,0.6319382,0.09296923,0.13921414,0.5606676,0.51378095,0.4306864,0.32164901,0.46191013,0.35768256,0.1898111,0.32330313,0.1784868,0.29675016,0.0,0.28293157,0.45692703,0.35219377,0.5852429,0.18460797,0.885366,0.2771548,0.14865734,0.19045968,0.18358083,0.16447058,0.1872094
0.272701,0.3383544,0.47509494,0.3263777,0.2666173,0.61873335,0.28055206,0.3307713,0.5259428,0.46123123,0.45156834,0.45508578,0.42616966,0.40509787,0.3712006,0.33168128,0.3386439,0.16357058,0.28293157,0.0,0.32964548,0.4132849,0.58364064,0.26737812,0.7972778,0.2917827,0.3400811,0.2090073,0.40594313,0.3366602,0.37271622
0.35979486,0.4349867,0.57058424,0.44514257,0.397393,0.73142016,0.39739317,0.40067938,0.60656625,0.5192744,0.55609894,0.46193308,0.591226,0.5213631,0.4748358,0.39824247,0.44348386,0.2765903,0.45692703,0.32964548,0.0,0.53960365,0.63526094,0.35600844,0.87794405,0.44788912,0.43323004,0.31599107,0.5110997,0.44668064,0.47399712
0.29977405,0.33367562,0.41931698,0.32701892,0.3874211,0.48970044,0.3429168,0.38117385,0.5087753,0.4778965,0.2309562,0.4595914,0.5528976,0.08742524,0.37054658,0.33981404,0.40887305,0.41377863,0.35219377,0.4132849,0.53960365,0.0,0.5207494,0.2967844,0.8417073,0.34820002,0.3864026,0.30694562,0.23248707,0.40153995,0.4198479
