0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
9.466897,9.624997,8.952636,10.360993,10.537844,9.785357,10.944367,13.270331,8.41623,6.661068,13.732216,6.3272257,0.0,10.7852955,9.964475,9.474593,9.042445,11.761437,9.347439,9.475953,9.428347,10.434483,7.1413264,10.287733,10.963373,9.78909,8.1730175,10.688774,6.946978,8.803006,9.624997,11.609107,10.191151,9.821555,10.796907,10.151492,19.59414,8.973789,7.849175,7.1723285,7.1723285,11.088231,10.990991,6.5817504,8.348651,7.249721,10.990991,11.1364355
7.216683,8.062651,7.782498,5.2593,6.218048,8.009547,6.0488696,10.144281,11.3956585,9.112624,11.893429,9.821035,10.7852955,0.0,7.2364774,4.882284,7.122279,7.3881226,8.540111,8.192818,4.842403,9.854006,9.976754,7.1403613,12.815846,9.082907,7.9770255,6.419893,9.3064575,7.519879,8.062651,9.70611,7.643354,7.8879914,7.14406,4.3698587,20.349138,6.1290245,10.606627,10.548375,10.548375,8.592878,8.363097,9.634677,8.354524,9.302263,8.363097,5.978909
5.980645,5.4385524,6.012932,8.539433,8.073312,5.576893,7.4607067,8.287001,9.004511,5.5041,9.994654,8.631497,9.964475,7.2364774,0.0,7.628034,5.4437194,8.614864,5.9630766,6.350949,8.511412,6.5941324,9.0267,5.560606,13.288223,6.681178,5.7262754,10.147242,7.432922,5.1855206,5.4385524,8.783088,7.7948647,7.5999966,7.935079,8.501195,19.49635,5.5614696,10.046024,7.4694686,7.4694686,8.078185,6.924124,8.047311,6.3946238,7.5637875,6.924124,7.3870864
7.491373,8.532053,7.378525,7.445303,6.320372,8.610643,8.042128,10.62999,9.867756,7.861602,11.500878,8.29106,9.474593,4.882284,7.628034,0.0,6.692895,8.748386,8.738181,8.953434,5.484591,8.708317,8.47916,7.702639,11.395369,8.864859,7.410204,7.0846,7.857538,7.3771396,8.532053,8.471526,5.5199685,5.4786515,8.758192,6.8090925,20.01756,7.152735,7.881115,8.653807,8.653807,6.641986,9.010071,7.8708715,7.1698203,8.162794,9.010071,6.7156806
3.8068485,6.7061143,3.7231278,7.6125283,7.8428283,7.1955934,6.8297906,8.808182,8.853738,6.6250286,10.955369,6.315674,9.042445,7.122279,5.4437194,6.692895,0.0,7.398408,7.242172,6.9951506,7.9738626,6.679038,6.9285283,5.29368,12.577802,6.7092767,3.739594,8.239691,5.432461,2.9229784,6.7061143,9.214266,7.932414,7.5185003,7.462179,7.5845566,19.286663,5.6510878,9.673713,7.4294534,7.4294534,8.236136,7.8804717,5.5870175,2.992249,6.223927,7.8804717,7.754664
6.9068584,8.680783,7.710254,6.6685247,7.7759047,8.906242,6.9068933,10.043542,12.242767,10.718835,12.670194,10.101375,11.761437,7.3881226,8.614864,8.748386,7.398408,0.0,8.309746,8.101151,7.905402,10.98549,9.983097,7.4405456,14.523714,8.601179,8.677075,6.67753,10.024027,7.618768,8.680783,12.287482,10.857653,10.962492,4.7984967,6.6228247,20.721443,7.1851096,12.753951,11.76,11.76,11.564935,9.846971,10.1544485,8.325365,9.849034,9.846971,8.415109
7.8535194,4.45102,7.450932,9.220932,8.62646,5.020114,8.49003,8.423586,8.710868,6.793802,10.373664,8.869226,9.347439,8.540111,5.9630766,8.738181,7.242172,8.309746,0.0,5.436761,9.188682,8.210667,9.203473,6.029698,13.953965,3.987671,6.9609857,10.745184,7.934296,6.8282814,4.45102,8.730098,8.495561,8.38907,7.268751,9.083898,19.632128,6.436342,9.972762,7.8540344,7.8540344,8.821144,6.6863513,8.400083,7.6140356,7.7056065,6.6863513,8.124098
7.0797157,4.053392,7.3770566,8.313848,8.831645,3.259095,6.8183265,8.936146,9.781856,7.7388573,11.166946,9.212311,9.475953,8.192818,6.350949,8.953434,6.9951506,8.101151,5.436761,0.0,9.274976,9.129669,9.6896925,5.927849,13.92649,6.246314,6.8633766,10.149464,8.272717,6.7423987,4.053392,9.573576,9.499844,9.274216,6.8929806,8.226174,19.844084,5.4913135,11.212127,9.228056,9.228056,9.6471,5.1635456,8.776771,7.5013795,8.080238,5.1635456,8.143688
7.9954457,9.3771105,8.293216,5.2347865,5.7977476,9.384377,7.8893204,11.94037,10.769261,8.690413,12.986808,8.639565,9.428347,4.842403,8.511412,5.484591,7.9738626,7.905402,9.188682,9.274976,0.0,10.447084,8.610474,8.634166,11.781409,9.803024,8.338162,5.717938,8.761052,8.039496,9.3771105,10.70741,8.095045,8.528611,7.552701,4.702196,20.199669,7.3725824,9.371519,9.960863,9.960863,9.602872,10.181907,8.921631,8.730159,8.578517,10.181907,6.995056
7.775816,8.014691,6.038044,11.091049,10.11973,8.643773,10.424597,9.20775,8.195717,6.660783,9.258909,8.713496,10.434483,9.854006,6.5941324,8.708317,6.679038,10.98549,8.210667,9.129669,10.447084,0.0,9.1844015,7.43363,13.942271,7.700503,6.552917,12.1111355,7.4876623,6.764336,8.014691,8.872577,7.7533693,7.2629404,10.445946,11.079718,19.780039,8.431392,8.832305,6.6325164,6.6325164,7.618958,9.427394,7.6761065,6.6002254,8.020597,9.427394,9.544566
