0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
16.940561,5.7494545,17.221735,17.126465,7.804983,6.4620776,9.368025,6.4620776,10.424853,15.710133,11.7723,5.7494545,5.7494545,0.0,10.872626,10.872626,17.503712,17.879742,8.99421,9.22651,6.6048827,17.423635,10.257783,7.294515,6.8206434,17.764515,7.804983,9.368025,7.459765,8.784941,17.357584,18.369219,14.739441,14.739441,8.784941,13.785099,4.4510536,7.755569
18.133408,11.292183,18.383656,18.543848,12.969461,12.267856,8.114206,12.267856,11.294737,16.211908,10.222314,11.292183,11.292183,10.872626,0.0,0.0,18.85575,19.22138,13.332951,8.285799,11.2952175,18.274921,12.499712,12.543239,12.529602,19.068499,12.969461,8.114206,11.005014,12.78821,18.732214,19.386314,16.661041,16.661041,12.78821,14.688162,11.450147,12.124578
18.133408,11.292183,18.383656,18.543848,12.969461,12.267856,8.114206,12.267856,11.294737,16.211908,10.222314,11.292183,11.292183,10.872626,0.0,0.0,18.85575,19.22138,13.332951,8.285799,11.2952175,18.274921,12.499712,12.543239,12.529602,19.068499,12.969461,8.114206,11.005014,12.78821,18.732214,19.386314,16.661041,16.661041,12.78821,14.688162,11.450147,12.124578
6.3313475,17.248535,6.9191585,4.6892295,17.455801,18.117577,18.541382,18.117577,19.051464,22.331932,19.992634,17.248535,17.248535,17.503712,18.85575,18.85575,0.0,4.1634064,16.829779,18.708937,17.52511,9.209469,16.32081,17.797037,17.531,8.932829,17.455801,18.541382,18.078661,17.142506,4.957067,9.584706,11.426724,11.426724,17.142506,21.253338,17.378378,18.633526
7.5006237,17.612953,7.599916,6.5268,17.748772,18.316845,18.842854,18.316845,18.983541,21.79082,20.103697,17.612953,17.612953,17.879742,19.22138,19.22138,4.1634064,0.0,17.15228,18.908928,17.78467,8.4221945,16.768513,17.883007,17.792942,8.559354,17.748772,18.842854,18.415703,17.413122,6.5469966,10.334208,11.739962,11.739962,17.413122,21.099451,17.681768,19.022833
16.400642,7.8891153,16.679153,16.525566,6.1773005,9.221093,11.853134,9.221093,12.340722,18.028063,15.434488,7.8891153,7.8891153,8.99421,13.332951,13.332951,16.829779,17.15228,0.0,12.58258,8.420808,16.856268,9.860831,8.347612,7.154754,17.136248,6.1773005,11.853134,10.95118,7.9944696,16.908237,17.990479,14.068834,14.068834,7.9944696,16.885923,7.1383457,11.446901
18.037655,10.182727,18.312231,18.403088,11.606336,10.176388,9.576561,10.176388,8.04342,14.879773,8.972757,10.182727,10.182727,9.22651,8.285799,8.285799,18.708937,18.908928,12.58258,0.0,9.060096,18.151348,12.430736,11.0161085,11.168331,18.941435,11.606336,9.576561,9.609178,11.564296,18.675755,19.606663,16.54932,16.54932,11.564296,12.970576,9.825321,11.13808
16.85668,6.2208486,17.130156,16.985529,7.0988092,7.4546237,10.399921,7.4546237,8.765871,16.081783,12.719991,6.2208486,6.2208486,6.6048827,11.2952175,11.2952175,17.52511,17.78467,8.420808,9.060096,0.0,16.904165,9.79508,7.404765,6.1392074,17.247766,7.0988092,10.399921,7.1845675,5.2728505,17.37455,18.320087,14.344208,14.344208,5.2728505,14.787959,5.0449467,9.5135145
8.299895,17.248583,8.013697,8.209657,17.089571,17.754858,18.004385,17.754858,18.191343,20.88649,19.41749,17.248583,17.248583,17.423635,18.274921,18.274921,9.209469,8.4221945,16.856268,18.151348,16.904165,0.0,16.282047,17.027035,17.084324,8.434033,17.089571,18.004385,18.161709,16.398956,8.860526,10.740124,10.863728,10.863728,16.398956,20.444544,17.032125,18.41374
15.552744,10.333283,15.749975,15.847905,10.475162,11.874748,12.390388,11.874748,13.363203,17.181192,13.863432,10.333283,10.333283,10.257783,12.499712,12.499712,16.32081,16.768513,9.860831,12.430736,9.79508,16.282047,0.0,11.11377,10.416367,16.58735,10.475162,12.390388,10.851209,9.8656225,16.273447,16.808971,13.381722,13.381722,9.8656225,15.711956,9.86149,12.760971
17.189898,7.696085,17.384731,17.33026,6.100653,4.7424016,11.156562,4.7424016,10.084564,16.437704,13.476624,7.696085,7.696085,7.294515,12.543239,12.543239,17.797037,17.883007,8.347612,11.0161085,7.404765,17.027035,11.11377,0.0,6.0377126,17.698391,6.100653,11.156562,9.808937,7.956495,17.735369,18.771105,15.133057,15.133057,7.956495,15.42352,6.1393948,9.542342
16.83987,4.80826,17.106197,16.970278,3.94921,6.2430367,10.321281,6.2430367,10.17317,17.545069,14.187381,4.80826,4.80826,6.8206434,12.529602,12.529602,17.531,17.792942,7.154754,11.168331,6.1392074,17.084324,10.416367,6.0377126,0.0,17.446348,3.94921,10.321281,9.39129,5.297682,17.336048,18.373676,14.418051,14.418051,5.297682,16.094881,3.9966037,8.990244
8.557335,17.541811,7.983527,7.4686847,17.472443,18.363943,18.756002,18.363943,18.785679,21.515146,20.22792,17.541811,17.541811,17.764515,19.068499,19.068499,8.932829,8.559354,17.136248,18.941435,17.247766,8.434033,16.58735,17.698391,17.446348,0.0,17.472443,18.756002,18.487904,16.419594,8.368752,7.435004,7.6596856,7.6596856,16.419594,21.125717,17.435593,18.85545
16.76226,6.311131,17.02514,16.856382,0.0,5.836012,11.052325,5.836012,10.851974,17.8364,14.640851,6.311131,6.311131,7.804983,12.969461,12.969461,17.455801,17.748772,6.1773005,11.606336,7.0988092,17.089571,10.475162,6.100653,3.94921,17.472443,0.0,11.052325,9.70811,6.099171,17.263062,18.183788,14.424843,14.424843,6.099171,16.155546,5.82746,9.644794
17.742186,8.247814,17.966997,18.105425,11.052325,10.715118,0.0,10.715118,12.568748,15.976989,10.903609,8.247814,8.247814,9.368025,8.114206,8.114206,18.541382,18.842854,11.853134,9.576561,10.399921,18.004385,12.390388,11.156562,10.321281,18.756002,11.052325,0.0,9.724906,11.563912,18.298607,19.032122,16.155699,16.155699,11.563912,14.120333,9.467303,8.683931
17.606983,7.3097916,17.91703,17.656652,9.70811,8.529098,9.724906,8.529098,10.457066,14.839827,10.575374,7.3097916,7.3097916,7.459765,11.005014,11.005014,18.078661,18.415703,10.95118,9.609178,7.1845675,18.161709,10.851209,9.808937,9.39129,18.487904,9.70811,9.724906,0.0,9.703323,17.933887,19.014635,15.676681,15.676681,9.703323,12.486571,8.02019,8.484167
16.21296,7.293051,16.42804,16.3789,6.099171,8.485531,11.563912,8.485531,10.085283,17.81162,14.725087,7.293051,7.293051,8.784941,12.78821,12.78821,17.142506,17.413122,7.9944696,11.564296,5.2728505,16.398956,9.8656225,7.956495,5.297682,16.419594,6.099171,11.563912,9.703323,0.0,16.80565,17.376554,13.092894,13.092894,0.0,16.67748,6.919065,10.394266
4.9652596,17.04693,5.7997875,3.032907,17.263062,18.016918,18.298607,18.016918,19.125273,22.417793,19.997562,17.04693,17.04693,17.357584,18.732214,18.732214,4.957067,6.5469966,16.908237,18.675755,17.37455,8.860526,16.273447,17.735369,17.336048,8.368752,17.263062,18.298607,17.933887,16.80565,0.0,8.054408,10.374861,10.374861,16.80565,21.16857,17.23134,18.390644
7.7522388,18.125647,7.3854847,7.4377766,18.183788,19.15615,19.032122,19.15615,20.205044,23.09685,20.58172,18.125647,18.125647,18.369219,19.386314,19.386314,9.584706,10.334208,17.990479,19.606663,18.320087,10.740124,16.808971,18.771105,18.373676,7.435004,18.183788,19.032122,19.014635,17.376554,8.054408,0.0,9.009158,9.009158,17.376554,22.069101,18.329197,19.201889
10.181147,14.482704,10.116117,9.895994,14.424843,15.604022,16.155699,15.604022,16.687895,20.24139,18.27516,14.482704,14.482704,14.739441,16.661041,16.661041,11.426724,11.739962,14.068834,16.54932,14.344208,10.863728,13.381722,15.133057,14.418051,7.6596856,14.424843,16.155699,15.676681,13.092894,10.374861,9.009158,0.0,0.0,13.092894,19.351717,14.488788,16.056787
10.181147,14.482704,10.116117,9.895994,14.424843,15.604022,16.155699,15.604022,16.687895,20.24139,18.27516,14.482704,14.482704,14.739441,16.661041,16.661041,11.426724,11.739962,14.068834,16.54932,14.344208,10.863728,13.381722,15.133057,14.418051,7.6596856,14.424843,16.155699,15.676681,13.092894,10.374861,9.009158,0.0,0.0,13.092894,19.351717,14.488788,16.056787
16.21296,7.293051,16.42804,16.3789,6.099171,8.485531,11.563912,8.485531,10.085283,17.81162,14.725087,7.293051,7.293051,8.784941,12.78821,12.78821,17.142506,17.413122,7.9944696,11.564296,5.2728505,16.398956,9.8656225,7.956495,5.297682,16.419594,6.099171,11.563912,9.703323,0.0,16.80565,17.376554,13.092894,13.092894,0.0,16.67748,6.919065,10.394266
20.771471,14.828232,20.753822,20.879673,16.155546,14.408425,14.120333,14.408425,15.471074,6.888404,11.125611,14.828232,14.828232,13.785099,14.688162,14.688162,21.253338,21.099451,16.885923,12.970576,14.787959,20.444544,15.711956,15.42352,16.094881,21.125717,16.155546,14.120333,12.486571,16.67748,21.16857,22.069101,19.351717,19.351717,16.67748,0.0,14.824997,14.862416
16.776917,3.8295305,17.04393,16.928118,5.82746,6.170819,9.467303,6.170819,10.084238,16.337547,12.797281,3.8295305,3.8295305,4.4510536,11.450147,11.450147,17.378378,17.681768,7.1383457,9.825321,5.0449467,17.032125,9.86149,6.1393948,3.9966037,17.435593,5.82746,9.467303,8.02019,6.919065,17.23134,18.329197,14.488788,14.488788,6.919065,14.824997,0.0,8.585532
17.881378,7.5574145,18.266409,18.16209,9.644794,8.551426,8.683931,8.551426,12.434609,16.822895,12.205051,7.5574145,7.5574145,7.755569,12.124578,12.124578,18.633526,19.022833,11.446901,11.13808,9.5135145,18.41374,12.760971,9.542342,8.990244,18.85545,9.644794,8.683931,8.484167,10.394266,18.390644,19.201889,16.056787,16.056787,10.394266,14.862416,8.585532,0.0
