0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
10.882905,14.03043,20.392946,18.437176,12.36317,19.339724,11.558658,21.232117,21.343105,20.326351,0.0,10.456501,19.5741,13.314039,19.209822,20.990023,18.508518,20.01752,19.887436,11.251444,18.050245,14.223513,18.711786,19.538198,18.475405,11.440792,19.459345,20.301022,18.71484,18.965395,9.181425,21.045893,20.52939,6.6112113,19.491737,18.931845,18.200031,20.511774,20.182194,10.591342,18.57983,19.023445,19.427794,18.643772,9.327647,18.804066,18.512789,19.844666,19.323486,19.427794,12.776849,19.064743,19.693607,14.932849,12.431961,18.57983,19.837961,18.87631,18.649698,20.648333,19.10506,20.447876,9.506744,19.979446,13.298236,10.491912
12.7637205,15.697321,20.682915,19.027159,12.934238,19.225916,13.669515,21.61666,21.351725,20.172813,10.456501,0.0,19.703806,13.17671,19.324184,20.661055,18.370712,19.971685,19.518114,12.7864895,16.702541,12.883877,18.638405,19.509846,18.218727,11.954164,19.057669,20.303175,18.826452,18.810595,10.901841,21.212639,20.233013,9.734536,19.725006,19.19398,18.131195,20.674555,20.222076,10.2899685,18.385626,18.719982,19.045818,18.664762,7.841098,18.708511,18.469473,20.032188,19.280674,19.045818,14.118463,18.80819,19.853271,12.833406,14.4589615,18.385626,19.919731,18.699436,18.470264,20.838682,19.31561,20.572412,9.659899,20.10162,12.863224,10.779415
18.674597,18.628643,9.671026,12.41771,20.56343,10.329978,19.873283,13.101503,11.264051,12.322319,19.5741,19.703806,0.0,20.472628,4.207858,12.333342,9.06981,12.12665,9.663346,19.950485,19.882195,18.880222,8.953265,8.635275,8.579173,20.25758,11.291463,11.467295,7.2345023,9.602369,17.142569,10.552979,11.587291,20.066265,10.991627,9.204352,11.359363,11.485294,11.242949,21.28989,9.263556,9.223269,8.764054,7.9918585,19.76149,9.644162,7.2837687,6.7347517,8.495179,8.764054,17.721664,9.223769,6.504255,14.419125,18.928877,9.263556,8.984218,9.175669,8.816433,9.242688,11.392127,8.9387865,17.282642,11.2134695,20.877905,19.341932
10.844465,17.676416,20.58209,19.849915,10.264293,19.48273,11.374348,20.621965,21.36864,20.187819,13.314039,13.17671,20.472628,0.0,20.047632,21.755535,19.07126,19.687708,20.481245,9.640244,19.57946,14.175386,19.36372,19.430845,19.063251,10.464257,20.40612,20.665169,19.305628,19.580568,13.061684,21.127476,21.485985,12.623024,19.16491,19.232262,19.243397,20.129396,19.860819,11.581006,19.076244,19.861767,20.13871,19.306381,13.572397,19.54497,19.06564,20.080822,19.28884,20.13871,14.679268,19.849861,19.983137,14.780723,13.4771,19.076244,19.963243,19.578646,19.162132,21.189137,18.779745,20.57282,13.850339,20.132452,5.1192904,13.224123
18.179928,18.152494,8.133495,13.359399,20.324608,8.156073,19.567545,11.553527,10.312298,11.34638,19.209822,19.324184,4.207858,20.047632,0.0,11.209106,7.6078773,10.618538,8.5865965,19.664879,19.379921,18.419895,7.7086077,7.1274085,6.9646654,19.9406,10.273928,9.734377,5.841485,9.116803,16.79199,9.281991,10.2687435,19.72814,9.665098,7.9692974,10.451428,10.29798,9.811098,20.743732,8.602823,8.099415,8.240544,6.6563625,19.42964,8.152443,5.5944815,8.2732935,6.7565827,8.240544,17.324064,7.768219,5.810636,14.77434,18.434153,8.602823,7.166454,7.902969,8.145495,7.813347,9.59844,6.7124953,16.994263,9.40741,20.428986,18.876509
20.229872,20.012892,11.730552,16.89913,21.954515,10.056967,21.582436,12.771982,12.6041,13.757914,20.990023,20.661055,12.333342,21.755535,11.209106,0.0,11.699353,12.406737,6.8705277,21.878618,20.774822,20.219202,11.49984,11.402797,10.841649,21.553974,10.539509,8.845828,10.846323,12.158222,18.783764,10.927102,7.2764425,21.302876,13.512847,12.164692,12.81821,12.845792,12.971431,22.491842,11.522453,10.588372,10.891703,10.553399,20.90283,9.437248,10.328545,13.310806,11.294411,10.891703,19.587933,9.349461,11.13486,17.257751,20.8078,11.522453,9.771932,10.188837,11.387777,10.179749,12.643119,9.795178,18.795752,9.230248,21.842249,20.571566
17.40264,17.051832,9.334888,13.762713,19.305069,8.735341,18.944569,12.447305,11.545885,10.206413,18.508518,18.370712,9.06981,19.07126,7.6078773,11.699353,0.0,11.29916,8.731873,19.003645,18.089819,16.619196,3.2527912,8.112683,7.020355,18.822197,8.955187,10.066119,6.9045057,8.784335,16.423964,11.008911,10.322739,18.820637,10.418373,7.8371997,8.916802,10.614117,9.389802,19.928831,8.4120865,7.405387,8.350526,7.2024584,18.61017,7.8065267,6.6697745,11.252322,7.7313786,8.350526,17.008585,7.6088424,8.360597,14.944247,17.998161,8.4120865,8.544511,7.7991104,8.275614,9.3776045,9.437345,9.01577,16.69235,9.773536,19.153618,17.837517
18.84371,17.630985,9.042582,15.197996,20.958248,9.677224,19.978737,7.5888014,8.108141,7.789602,20.01752,19.971685,12.12665,19.687708,10.618538,12.406737,11.29916,0.0,10.896123,20.403025,19.959751,17.796532,11.020247,7.221507,10.269362,20.535547,12.345939,10.36908,10.034622,11.971222,17.402033,7.574823,12.3705845,20.258753,6.479911,8.866219,12.553748,6.47445,7.0346484,21.211996,10.312867,10.387092,11.574313,10.286955,19.475336,8.722656,9.753976,11.010763,7.52099,11.574313,16.14144,10.0578985,8.532285,15.460072,17.392672,10.312867,7.500776,9.801341,10.326141,10.261413,5.938246,8.554581,17.702929,8.594833,20.021101,19.808363
18.993834,18.962486,9.360417,14.47617,20.791628,9.135204,20.442585,12.313654,10.914729,11.49408,19.887436,19.518114,9.663346,20.481245,8.5865965,6.8705277,8.731873,10.896123,0.0,20.533268,19.289833,19.031092,8.410252,9.032927,8.044868,20.251192,8.48468,9.073192,7.497903,8.262057,17.43219,9.70562,7.889894,20.19961,11.121676,9.300463,9.847574,10.850575,10.531688,21.388878,7.7312307,6.5142436,6.897018,7.559923,19.78648,7.038571,7.450856,11.371393,9.055525,6.897018,18.539858,5.7050576,8.92824,15.727967,19.659195,7.7312307,8.215576,6.335323,7.624849,8.154424,10.756778,8.688126,17.588438,9.31486,20.505548,19.277086
8.941262,17.10092,20.739017,19.03768,11.077465,20.001493,8.622746,21.405287,21.63306,20.690859,11.251444,12.7864895,19.950485,9.640244,19.664879,21.878618,19.003645,20.403025,20.533268,0.0,19.473013,14.773656,19.200117,19.755108,18.846262,9.961831,20.180119,20.858795,19.158215,19.171623,11.727082,21.377094,21.560968,11.260503,19.616337,19.328222,18.935287,20.675358,20.262861,11.038721,18.842392,19.654676,19.79269,19.201275,12.854115,19.512486,18.945171,19.984558,19.658648,19.79269,14.411688,19.645706,20.134436,14.868874,11.4389715,18.842392,20.307121,19.313744,18.9525,21.14082,19.502996,20.813334,12.142445,20.607792,9.462691,13.344516
